"V1","V5","V6","V7","V8"
2.485,673,675.6225,163891.4,540.9895
2.486,673,675.6285,163917,541.0492
2.487,673,675.6346,163942.6,541.1089
2.488,673,675.6406,163968.2,541.1687
2.489,673,675.6467,163993.9,541.2285
2.49,673,675.6528,164019.6,541.2884
2.491,673,675.6589,164045.3,541.3483
2.492,673,675.6649,164071.1,541.4082
2.493,673,675.671,164096.8,541.4682
2.494,673,675.6771,164122.6,541.5283
2.495,673,675.6832,164148.5,541.5884
2.496,673,675.6893,164174.3,541.6485
2.497,673,675.6955,164200.2,541.7087
2.498,673,675.7016,164226.1,541.7689
2.499,673,675.7077,164252.1,541.8292
2.5,673,675.7138,164278,541.8895
2.501,673,675.72,164304,541.9498
2.502,673,675.7261,164330,542.0102
2.503,673,675.7322,164356,542.0707
2.504,673,675.7384,164382.1,542.1311
2.505,673,675.7446,164408.2,542.1916
2.506,673,675.7507,164434.3,542.2522
2.507,673,675.7569,164460.4,542.3128
2.508,673,675.763,164486.6,542.3734
2.509,673,675.7692,164512.8,542.4341
2.51,673,675.7754,164539,542.4948
2.511,673,675.7816,164565.2,542.5555
2.512,673,675.7878,164591.5,542.6163
2.513,673,675.794,164617.8,542.6771
2.514,673,675.8002,164644.1,542.738
2.515,673,675.8064,164670.4,542.7989
2.516,673,675.8126,164696.8,542.8598
2.517,673,675.8188,164723.2,542.9208
2.518,673,675.825,164749.6,542.9818
2.519,673,675.8312,164776,543.0428
2.52,673,675.8375,164802.5,543.1039
2.521,673,675.8437,164829,543.1651
2.522,673,675.8499,164855.5,543.2262
2.523,673,675.8562,164882,543.2874
2.524,673,675.8624,164908.6,543.3487
2.525,673,675.8687,164935.2,543.41
2.526,673,675.8749,164961.8,543.4713
2.527,673,675.8812,164988.4,543.5327
2.528,673,675.8875,165015.1,543.5941
2.529,673,675.8937,165041.7,543.6555
2.53,673,675.9,165068.5,543.717
2.531,673,675.9063,165095.2,543.7785
2.532,673,675.9126,165121.9,543.84
